Code,Name,Sector
4043,トクヤマ,化学
4063,信越化学工業,化学
4186,東京応化工業,化学
4203,住友ベークライト,化学
4272,日本化薬,化学
4369,トリケミカル研究所,化学
4401,ＡＤＥＫＡ,化学
4626,太陽ホールディングス,化学
4980,デクセリアルズ,化学
3436,ＳＵＭＣＯ,非鉄・金属
6315,ＴＯＷＡ,機械
6323,ローツェ,機械
6526,ソシオネクスト,電気機器
6707,サンケン電気,電気機器
6723,ルネサスエレクトロニクス,電気機器
6728,アルバック,電気機器
6758,ソニーグループ,電気機器
6857,アドバンテスト,電気機器
6890,フェローテックホールディングス,電気機器
6920,レーザーテック,電気機器
6963,ローム,電気機器
7735,ＳＣＲＥＥＮホールディングス,電気機器
8035,東京エレクトロン,電気機器
6146,ディスコ,精密機器
7729,東京精密,精密機器
7741,ＨＯＹＡ,精密機器
2760,東京エレクトロン　デバイス,商社
3132,マクニカホールディングス,商社
8154,加賀電子,商社
