Code,Name,2022,2023,2024
2760,東京エレクトロン　デバイス,10964000000.0,22585000000.0,0.0
3132,マクニカホールディングス,53967000000.0,115632000000.0,0.0
3436,ＳＵＭＣＯ,153323000000.0,210166000000.0,0.0
4043,トクヤマ,19573000000.0,31803000000.0,0.0
4063,信越化学工業,1154967000000.0,1569839000000.0,0.0
4186,東京応化工業,44631000000.0,27744000000.0,0.0
4203,住友ベークライト,30096000000.0,55104000000.0,0.0
4272,日本化薬,32479000000.0,26566000000.0,0.0
4369,トリケミカル研究所,7077000000.0,9125000000.0,2470000000.0
4401,ＡＤＥＫＡ,30801000000.0,65681000000.0,0.0
4626,太陽ホールディングス,21428000000.0,30394000000.0,0.0
4980,デクセリアルズ,35778000000.0,50227000000.0,0.0
6146,ディスコ,97892000000.0,177061000000.0,0.0
6315,ＴＯＷＡ,12756000000.0,13198000000.0,0.0
6323,ローツェ,32032000000.0,50263000000.0,0.0
6526,ソシオネクスト,25259000000.0,63308000000.0,0.0
6707,サンケン電気,9564000000.0,20692000000.0,0.0
6723,ルネサスエレクトロニクス,662659000000.0,909236000000.0,0.0
6728,アルバック,33598000000.0,33920000000.0,0.0
6758,ソニーグループ,1509323000000.0,2353889000000.0,0.0
6857,アドバンテスト,207463000000.0,212683000000.0,0.0
6890,フェローテックホールディングス,47071000000.0,55902000000.0,0.0
6920,レーザーテック,45163000000.0,96780000000.0,0.0
6963,ローム,146178000000.0,182912000000.0,0.0
7729,東京精密,31966000000.0,46038000000.0,0.0
7735,ＳＣＲＥＥＮホールディングス,87623000000.0,137863000000.0,0.0
7741,ＨＯＹＡ,269902000000.0,416772000000.0,0.0
8035,東京エレクトロン,708361000000.0,912411000000.0,0.0
8154,加賀電子,39449000000.0,56233000000.0,0.0
